Type,OID,OID (bin),POS (BIN),POS,Diff
O,5039,0001001110101111,0000000101110110,374,4665
O,5040,0001001110110000,0000000101110111,375,4665
O,5041,0001001110110001,0000000101111000,376,4665
O,5042,0001001110110010,0000000101111001,377,4665
O,5043,0001001110110011,0000000101111010,378,4665
O,5044,0001001110110100,0000000101111011,379,4665
O,5045,0001001110110101,0000000101111100,380,4665
O,5046,0001001110110110,0000000101111101,381,4665
O,5047,0001001110110111,0000000101111110,382,4665
O,5048,0001001110111000,0000000101111111,383,4665
M,51,0000000000110011,0000000110000000,384,-333
M,52,0000000000110100,0000000110000001,385,-333
M,53,0000000000110101,0000000110000010,386,-333
M,54,0000000000110110,0000000110000011,387,-333
O,5049,0001001110111001,0000000110000100,388,4661
O,5050,0001001110111010,0000000110000101,389,4661
O,5051,0001001110111011,0000000110000110,390,4661
O,5052,0001001110111100,0000000110000111,391,4661
O,5053,0001001110111101,0000000110001000,392,4661
O,5054,0001001110111110,0000000110001001,393,4661
O,5055,0001001110111111,0000000110001010,394,4661
O,5056,0001001111000000,0000000110001011,395,4661
O,5057,0001001111000001,0000000110001100,396,4661
O,5058,0001001111000010,0000000110001101,397,4661
O,5059,0001001111000011,0000000110001110,398,4661
O,5060,0001001111000100,0000000110001111,399,4661
M,55,0000000000110111,0000000110010000,400,-345
M,56,0000000000111000,0000000110010001,401,-345
M,57,0000000000111001,0000000110010010,402,-345
M,58,0000000000111010,0000000110010011,403,-345
O,5061,0001001111000101,0000000110010100,404,4657
O,5062,0001001111000110,0000000110010101,405,4657
O,5063,0001001111000111,0000000110010110,406,4657
O,5064,0001001111001000,0000000110010111,407,4657
O,5065,0001001111001001,0000000110011000,408,4657
O,5066,0001001111001010,0000000110011001,409,4657
O,5067,0001001111001011,0000000110011010,410,4657
O,5068,0001001111001100,0000000110011011,411,4657
O,5069,0001001111001101,0000000110011100,412,4657
O,5070,0001001111001110,0000000110011101,413,4657
O,5071,0001001111001111,0000000110011110,414,4657
O,5072,0001001111010000,0000000110011111,415,4657
O,5073,0001001111010001,0000000110100000,416,4657
O,5074,0001001111010010,0000000110100001,417,4657
O,5075,0001001111010011,0000000110100010,418,4657
O,5076,0001001111010100,0000000110100011,419,4657
O,5077,0001001111010101,0000000110100100,420,4657
O,5078,0001001111010110,0000000110100101,421,4657
O,5079,0001001111010111,0000000110100110,422,4657
O,5080,0001001111011000,0000000110100111,423,4657
O,5081,0001001111011001,0000000110101000,424,4657
